trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",30,0,-218.50732474820097,"{0: 15, 1: 5, 2: 5, 3: 2, 4: 3}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,0,-112.3662863715075,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",35,0,-80.81193800128128,"{0: 25, 1: 5, 2: 3, 3: 1, 4: 1}",0
72,False,"{'a': 0.01, 'e': 0.7518057291408949}",30,0,-121.69114189356043,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",20,14,-5.903681045591097,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,14,1.3297721016911153,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",20,0,-102.4912495561449,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,0,-57.967713659439724,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",25,0,-45.60932255567306,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",30,0,-82.57361451822966,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",25,0,-95.78783750785526,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",30,0,-107.25641747959703,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
81,False,"{'a': 0.01, 'e': 0.689498432951747}",20,0,-97.63810672731356,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",20,11,-27.739725343703963,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
83,False,"{'a': 0.01, 'e': 0.674875760071267}",20,0,-71.05659543102554,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",20,11,4.845459122141312,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,9,9.591875491996193,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",25,0,-115.84942470396359,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",30,0,-97.57167800874042,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,0,-108.15421363199165,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",20,0,-56.775211157731235,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",20,16,6.689340609763223,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,6,-23.14949452596263,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",25,0,-109.02806636553461,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",30,16,-34.776325364029304,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",35,9,-35.61304669564905,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 0}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",25,0,-164.08167995297947,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,0,9.522296954273607,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",25,0,-119.13220112550837,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",30,0,-87.34045359459333,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",30,22,14.753383191253835,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.5403023058681397}",25,11,-6.785633861638875,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",35,9,-45.1953955056329,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 0}",1
